filename,timestamp,NChirps,NAttenuators,SubBurstsInBurst,RF\_Attenuator,AF\_Gain,fc,B,T,fs,Temperature\_1,Temperature\_2,BatteryVoltage
/Untouched/ApRES/HF/Testing/2022-01-06-hf-apres-test/Survey\_2022-01-06\_142359.dat,2022-01-06 14:24:38,120,3,40,10 10 10,10 10 10,30000076.1636,20000152.2899,1,40000,0,8.1406,12.6127
/Untouched/ApRES/HF/Testing/2022-01-06-hf-apres-test/Survey\_2022-01-06\_154601.dat,2022-01-06 15:47:36,120,3,40,10 10 10,10 10 10,30000076.1636,20000152.2899,1,40000,0,7.5547,12.4314
/Untouched/ApRES/HF/Testing/2022-01-06-hf-apres-test/Survey\_2022-01-06\_155137.dat,2022-01-06 15:53:56,120,1,120,10,10,30000076.1636,20000152.2899,1,40000,0,16.7422,12.4233
/Untouched/ApRES/HF/Testing/2022-01-06-hf-apres-test/Survey\_2022-01-06\_164102.dat,2022-01-06 16:41:27,120,3,40,10 10 10,10 10 10,30000076.1636,20000152.2899,1,40000,0,15.5703,12.3468
/Untouched/ApRES/HF/Testing/2022-01-06-hf-apres-test/Survey\_2022-01-06\_164609.dat,2022-01-06 16:48:40,80,1,80,10,10,30000076.1636,20000152.2899,1,40000,0,15.1797,12.3629
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_113341.dat,2022-01-05 11:34:22,80,2,40,30 30,30 30,30000076.1636,20000152.2899,1,40000,0,22.0234,12.4677
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_121151.dat,2022-01-05 12:12:20,80,2,40,30 30,30 30,30000076.1636,20000152.2899,0.1,40000,0,22.2188,12.4596
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_122713.dat,2022-01-05 12:27:54,80,2,40,30 30,30 30,30000076.1636,20000152.2899,1,40000,0,17.7266,12.4274
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_123749.dat,2022-01-05 12:37:58,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,19.6797,12.4193
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_124357.dat,2022-01-05 12:45:48,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,19.0938,12.4113
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_140022.dat,2022-01-05 14:00:38,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,19.375,18.2812,12.2622
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_141217.dat,2022-01-05 14:13:08,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,22.2188,12.3589
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_142157.dat,2022-01-05 14:22:10,8,1,8,30,30,30000076.1636,20000152.2899,5,40000,0,20.4609,12.3468
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_142609.dat,2022-01-05 14:26:29,3,3,1,30 30 30,30 30 30,30000076.1636,20000152.2899,5,40000,0,20.8516,12.3387
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_142942.dat,2022-01-05 14:30:40,4,4,1,30 20 10  0,30 20 10  0,30000076.1636,20000152.2899,5,40000,0,22.6172,12.3347
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_145817.dat,2022-01-05 14:58:32,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,19.0938,12.2823
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_150400.dat,2022-01-05 15:04:20,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,20.0703,12.2743
/Untouched/ApRES/HF/Testing/2022-01-05-hf-apres-test/Survey\_2022-01-05\_152208.dat,2022-01-05 15:23:19,40,1,40,30,30,30000076.1636,20000152.2899,1,40000,0,22.0234,12.234
