Name,Date,Time,Latitude,Longitude,pRES,vehicle,Antenna,Note    
SPM_X_04,06.12.2021,,,,127,Hilux,Surface,Unattened mimo test with RTK GPS running 
SPM_A_01,06.12.2021,,,,127,Hilux,Surface,
SPM_A_04,06.12.2021,,,,127,Hilux,Surface,
SPM_A_06,07.12.2021,9:23,S70 54.6083,W8 35.0011,127,Hilux,Surface,
SPM_A_08,07.12.2021,10:30,S70 59.6685,W8 29.5190,127,Hilux,Surface,
SPM_A_10,07.12.2021,11:18,S71 04.8188,W8 24.1606,127,Hilux,Surface,
SPM_A_12,07.12.2021,12:00,S71 09.9336,W8 19.5682,127,Hilux,Surface,
SPM_A_11,07.12.2021,12:51,S71 07.3516,W8 21.8561,127,Hilux,Surface,
SPM_A_09,07.12.2021,13:36,S71 02.2326,W8 26.9498,127,Hilux,Surface,
SPM_A_07,07.12.2021,14:12,S70 57.1200,W8 32.0608,127,Hilux,Surface,
SPM_A_05,07.12.2021,14:50,S70 52.1103,W8 38.0142,127,Hilux,Surface,
SPM_X_12,07.12.2021,15:22,S70 48.5407,W8 37.3807,127,Hilux,Surface,
SPM_X_05,08.12.2021,13:44,S70 42.1876,W8 36.2362,127,Hilux,Surface,
SPM_X_06,08.12.2021,14:07,S70 42.9845,W8 42.2801,127,Hilux,Surface,
SPM_A_02,08.12.2021,14:32,S70 44.6456,W8 47.2300,127,Hilux,Surface,
SPM_A_03,08.12.2021,15:01,S70 4?.0996,W8 43.9270,127,Hilux,Surface,
SPM_X2_13,08.12.2021,15:27,S70 49.5042,W8 44.3598,127,Hilux,Surface,
SPM_X2_12,08.12.2021,15:52,S70 48.6233,W8 38.4010,127,Hilux,Surface,
SPM_X3_01,01.01.2022,10:36,S71 0.1622,W7 37.8862,127,Hilux,Surface,
SPM_X3_02,01.01.2022,11:38,S71 0.8448,W7 44.6390,127,Hilux,Surface,
SPM_X3_03,01.01.2022,12:06,S71 1.0425,W7 46.5675,127,Hilux,Surface,
SPM_X3_04,01.01.2022,12:47,S71 1.4077,W7 50.0373,127,Hilux,Surface,
SPM_X3_05,01.01.2022,13:00,S71 1.5366,W7 52.3067,127,Hilux,Surface,
SPM_X3_06,01.01.2022,13:28,S71 1.6515,W7 52.5199,127,Hilux,Surface,
SPM_X3_07,01.01.2022,13:56,S71 2.0236,W7 56.2648,127,Hilux,Surface,
SPM_X3_08,01.01.2022,14:18,S71 2.4512,W8 0.4169,127,Hilux,Surface,
SPM_X3_09,01.01.2022,14:45,S71 8.2488,W8 8.3205,127,Hilux,Surface,
SPM_X3_10,01.01.2022,15:11,S71 4.0086,W8 16.2397,127,Hilux,Surface,
SPM_A_13,01.01.2022,18:17,S71 12.5541,W8 17.6910,127,Hilux,Surface,
SPM_A_14,01.01.2022,18:57,S71 15.2070,W8 16.5035,127,Hilux,Surface,
SPM_A_15,01.01.2022,19:30,S71 17.8907,W8 16.5801,127,Hilux,Surface,
SPM_A_16,01.01.2022,20:06,S71 20.5795,W8 16.6960,127,Hilux,Surface,
SPM_A_17,01.01.2022,20:42,S71 23.2723,W8 16.9177,127,Hilux,Surface,
SPM_A_18,01.01.2022,21:18,S71 25.9609,W8 17.1657,127,Hilux,Surface,
SPM_A_25,04.01.2022,10:58,S71 43.5428,W8 35.8674,128,-,Surface,
SPM_X_01,10.12.2021,14:42,S70 38.9781,W8 12.1931,127,Snowmachine,Sled,
SPM_X2_11,11.12.2021,15:00,S70 47.7299,W8 32.4452,127,Snowmachine,Sled,
SPM_X2_10,11.12.2021,15:30,S70 46.8444,W8 26.5088,127,Snowmachine,Sled,
SPM_X2_09,11.12.2021,16:10,S70 45.9602,W8 20.4776,127,Snowmachine,Sled,
SPM_X_03,12.12.2021,10:50,S70 40.5602,W8 24.2193,127,Snowmachine,Sled,
SPM_X_02,12.12.2021,11:30,S70 39.7987,W8 17.4478,127,Snowmachine,Sled,
SPM_X2_01,13.12.2021,9:00,S70 43.2433,W8 2.8528,?,Snowmachine,Sled,
SPM_X2_02,13.12.2021,9:20,S70 43.5002,W8 4.3377,?,Snowmachine,Sled,
SPM_X2_03,13.12.2021,9:40,?,?,?,Snowmachine,Sled,double check needed
SPM_X2_04,13.12.2021,10:00,?,?,?,Snowmachine,Sled,double check needed
SPM_X2_05,13.12.2021,10:10,S70 44.145,W8 8.7386,?,Snowmachine,Sled,
SPM_X2_06,13.12.2021,10:40,S70 44.4317,W8 10.4649,?,Snowmachine,Sled,
SPM_X2_07,13.12.2021,11:05,S70 44.7319,W8 12.5599,?,Snowmachine,Sled,
