BURST_FileName,BURST_localdatetime,BURST_gpstime,BURST_lat,BURST_lon,BURST_alt,BURST_gpsQ
1_SubZero__165816.20_T1HR1H.dat,2022-01-02 16:58:38,16:58:16,-71.7240943,-8.5931895,0,0
1_SubZero__180215.40_T1HR1H.dat,2022-01-02 18:02:21,18:02:15,-71.724102,-8.5931697,0,0
2_SubZero__180505.20_T1HR1H.dat,2022-01-02 18:10:35,18:05:05,-71.7241122,-8.5931993,0,0
1_SubZero__181539.50_T1HR1H.dat,2022-01-02 18:21:10,18:15:39,-71.7241097,-8.5932095,0,0
2_SubZero__182252.70_T1HR1H.dat,2022-01-02 18:26:05,18:22:52,-71.7250908,-8.5901202,0,0
1_SubZero__154911.40_T1HT2VR1HR2V.dat,2022-01-03 15:49:56,15:49:11,-71.7246755,-8.594387,135,1
1_SubZero__162051.50_T1HT2VR1HR2V.dat,2022-01-03 16:21:38,16:20:51,-71.7252927,-8.5965958,0,0
2_SubZero__162204_T1HT2VR1HR2V.dat,2022-01-03 16:22:50,16:22:04,-71.7254765,-8.5967838,0,0
3_SubZero__162308.70_T1HT2VR1HR2V.dat,2022-01-03 16:23:55,16:23:08,-71.72559,-8.5970307,0,0
4_SubZero__162422.40_T1HT2VR1HR2V.dat,2022-01-03 16:25:09,16:24:22,-71.7257773,-8.5972962,0,0
5_SubZero__162527.70_T1HT2VR1HR2V.dat,2022-01-03 16:26:14,16:25:27,-71.7258938,-8.5975232,0,0
6_SubZero__164212.30_T1HT2VR1HR2V.dat,2022-01-03 16:42:59,16:42:12,-71.7260193,-8.5976408,0,0
7_SubZero__164404.30_T1HT2VR1HR2V.dat,2022-01-03 16:44:51,16:44:04,-71.7260237,-8.5976615,0,0
8_SubZero__164748.30_T1HT2VR1HR2V.dat,2022-01-03 16:48:35,16:47:48,-71.7260783,-8.5974575,0,0
9_SubZero__164855.70_T1HT2VR1HR2V.dat,2022-01-03 16:49:42,16:48:55,-71.7261828,-8.5976412,0,0
10_SubZero__165058.20_T1HT2VR1HR2V.dat,2022-01-03 16:51:45,16:50:58,-71.7262045,-8.5977133,0,0
11_SubZero__165216.70_T1HT2VR1HR2V.dat,2022-01-03 16:53:03,16:52:16,-71.7263783,-8.5979677,0,0
12_SubZero__165321.40_T1HT2VR1HR2V.dat,2022-01-03 16:54:08,16:53:21,-71.7264827,-8.5981455,0,0
13_SubZero__165438.40_T1HT2VR1HR2V.dat,2022-01-03 16:55:32,16:54:38,-71.726676,-8.5984717,0,0
14_SubZero__165922.30_T1HT2VR1HR2V.dat,2022-01-03 17:00:09,16:59:22,-71.7268767,-8.5988657,0,0
15_SubZero__170033.90_T1HT2VR1HR2V.dat,2022-01-03 17:01:28,17:00:33,-71.7270773,-8.5990893,0,0
16_SubZero__170147.70_T1HT2VR1HR2V.dat,2022-01-03 17:02:34,17:01:47,-71.7271913,-8.5993252,0,0
17_SubZero__170306.20_T1HT2VR1HR2V.dat,2022-01-03 17:03:53,17:03:06,-71.7273785,-8.5995652,0,0
18_SubZero__170416.30_T1HT2VR1HR2V.dat,2022-01-03 17:05:03,17:04:16,-71.72749,-8.5998232,0,0
19_SubZero__170845.40_T1HT2VR1HR2V.dat,2022-01-03 17:09:32,17:08:45,-71.7277853,-8.6002303,0,0
20_SubZero__170954.30_T1HT2VR1HR2V.dat,2022-01-03 17:10:41,17:09:54,-71.727981,-8.6004748,0,0
21_SubZero__171055.10_T1HT2VR1HR2V.dat,2022-01-03 17:11:41,17:10:55,-71.7280887,-8.6007368,0,0
22_SubZero__171206.70_T1HT2VR1HR2V.dat,2022-01-03 17:13:00,17:12:06,-71.7282775,-8.6010017,0,0
23_SubZero__171316.80_T1HT2VR1HR2V.dat,2022-01-03 17:14:10,17:13:16,-71.728407,-8.6012217,0,0
24_SubZero__171430.90_T1HT2VR1HR2V.dat,2022-01-03 17:15:17,17:14:30,-71.7285797,-8.601548,0,0
25_SubZero__173003.60_T1HT2VR1HR2V.dat,2022-01-03 17:30:50,17:30:03,-71.728675,-8.6018848,0,0
26_SubZero__173107.20_T1HT2VR1HR2V.dat,2022-01-03 17:31:53,17:31:07,-71.728783,-8.6020597,0,0
27_SubZero__173227.40_T1HT2VR1HR2V.dat,2022-01-03 17:33:14,17:32:27,-71.7289758,-8.602388,0,0
28_SubZero__173341.70_T1HT2VR1HR2V.dat,2022-01-03 17:34:28,17:33:41,-71.7291762,-8.6025713,0,0
29_SubZero__173447.30_T1HT2VR1HR2V.dat,2022-01-03 17:35:34,17:34:47,-71.7292817,-8.6028437,0,0
30_SubZero__173601.60_T1HT2VR1HR2V.dat,2022-01-03 17:36:48,17:36:01,-71.7294763,-8.6030848,0,0
31_SubZero__173713.80_T1HT2VR1HR2V.dat,2022-01-03 17:38:00,17:37:13,-71.7296768,-8.6033692,0,0
32_SubZero__173819.40_T1HT2VR1HR2V.dat,2022-01-03 17:39:06,17:38:19,-71.7297805,-8.6035525,0,0
33_SubZero__173940.30_T1HT2VR1HR2V.dat,2022-01-03 17:40:27,17:39:40,-71.7299768,-8.6038972,0,0
34_SubZero__174046.20_T1HT2VR1HR2V.dat,2022-01-03 17:41:33,17:40:46,-71.7300792,-8.60406,0,0
35_SubZero__174202.50_T1HT2VR1HR2V.dat,2022-01-03 17:42:49,17:42:02,-71.7302765,-8.6043785,0,0
36_SubZero__174316.50_T1HT2VR1HR2V.dat,2022-01-03 17:44:03,17:43:16,-71.7304745,-8.6045883,0,0
37_SubZero__174421.50_T1HT2VR1HR2V.dat,2022-01-03 17:45:08,17:44:21,-71.730587,-8.604838,0,0
